;Created At;Text;Geo Coordinates.latitude;Geo Coordinates.longitude;User Location;Username;User Screen Name;Retweet Count;Classificacao;Observação;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;Unnamed: 22;Unnamed: 23;Unnamed: 24
4540;Mon Jan 09 01:10:12 +0000 2017;RT @vando_correia: Os nomes e valores da Lista de Furnas ...GOVERNADOR-MG Aécio Neves PSDB-MG 5.500.000,00... https://t.co/Ly6gfVkCkF https…;;;;ritaleeparanoica;ritaleeparanoic;72;Negativo;;;;;;;;;;;;;;;;
4541;Sat Jan 07 04:30:20 +0000 2017;RT @vando_correia: Os nomes e valores da Lista de Furnas ...GOVERNADOR-MG Aécio Neves PSDB-MG 5.500.000,00... https://t.co/Ly6gfVkCkF https…;;;São Paulo;ÇUPREMO;nedicr56;72;Negativo;;;;;;;;;;;;;;;;
4542;Sun Jan 08 03:29:38 +0000 2017;RT @vando_correia: Os nomes e valores da Lista de Furnas ...GOVERNADOR-MG Aécio Neves PSDB-MG 5.500.000,00... https://t.co/Ly6gfVkCkF https…;;;;DirceuBrito;dirceubrito;72;Negativo;;;;;;;;;;;;;;;;
4543;Sun Jan 08 03:30:55 +0000 2017;RT @vando_correia: Os nomes e valores da Lista de Furnas ...GOVERNADOR-MG Aécio Neves PSDB-MG 5.500.000,00... https://t.co/Ly6gfVkCkF https…;;;;QueroFALARtambém;ktrem10;72;Negativo;;;;;;;;;;;;;;;;
4544;Sun Jan 08 03:32:52 +0000 2017;RT @vando_correia: Os nomes e valores da Lista de Furnas ...GOVERNADOR-MG Aécio Neves PSDB-MG 5.500.000,00... https://t.co/Ly6gfVkCkF https…;;;;Slim Rimografia (FC);SlimRimografia1;72;Negativo;;;;;;;;;;;;;;;;
4545;Sun Jan 08 03:34:53 +0000 2017;RT @vando_correia: Os nomes e valores da Lista de Furnas ...GOVERNADOR-MG Aécio Neves PSDB-MG 5.500.000,00... https://t.co/Ly6gfVkCkF https…;;;Piracicaba, Brasil;@Iolanda_Proenca;ProencaIolanda;72;Negativo;;;;;;;;;;;;;;;;
4546;Sun Jan 08 15:57:04 +0000 2017;RT @vando_correia: Os nomes e valores da Lista de Furnas ...GOVERNADOR-MG Aécio Neves PSDB-MG 5.500.000,00... https://t.co/Ly6gfVkCkF https…;;;Brasilia;FFrajola;FFrajola;72;Negativo;;;;;;;;;;;;;;;;
4547;Sun Jan 08 16:08:35 +0000 2017;RT @vando_correia: Os nomes e valores da Lista de Furnas ...GOVERNADOR-MG Aécio Neves PSDB-MG 5.500.000,00... https://t.co/Ly6gfVkCkF https…;;;Florianópolis, Brasil;Fernando Barros;ftbarros68;72;Negativo;;;;;;;;;;;;;;;;
4548;Tue Jan 10 03:01:56 +0000 2017;RT @vando_correia: Os nomes e valores da Lista de Furnas ...GOVERNADOR-MG Aécio Neves PSDB-MG 5.500.000,00... https://t.co/Ly6gfVkCkF https…;;;Brasil;Vando Correia;vando_correia;72;Negativo;;;;;;;;;;;;;;;;
4549;Tue Jan 10 03:18:37 +0000 2017;RT @vando_correia: Os nomes e valores da Lista de Furnas ...GOVERNADOR-MG Aécio Neves PSDB-MG 5.500.000,00... https://t.co/Ly6gfVkCkF https…;;;São Paulo,Brasil;Maria de Lourdes.;mmalualves;72;Negativo;;;;;;;;;;;;;;;;
